Producing organisation(s),First draft created,Edition states,Title,Author(s),Admin URL,Type
Department of Health,10/02/2012 11:16:00,draft,Carers and personalisation,Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1916,Publication
Ministry of Defence,10/02/2012 11:18:00,draft,UK and French troops train together,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1918,NewsArticle
Department of Health,10/02/2012 11:19:00,draft,"Recognised, valued and supported: next steps for the Carers Strategy",Robert Rockstroh,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1919,Publication
Ministry of Defence,10/02/2012 11:41:00,draft,Afghanistan operational air update 31 December,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1923,NewsArticle
Ministry of Defence,10/02/2012 11:49:00,draft,Royal Gibraltar Regiment playing its part in Afghanistan,Sheurie Warner,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1924,NewsArticle
Department for International Development,10/02/2012 12:07:00,draft,Annual DFID Equality and diversity information report,Bruce Mackay,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1927,Publication
Ministry of Defence,10/02/2012 12:46:00,draft,Apache strikes senior Taliban commander,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1930,NewsArticle
Ministry of Defence,10/02/2012 12:55:00,draft,Wildcat begins sea trials with Iron Duke,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1931,NewsArticle
Ministry of Defence,10/02/2012 13:07:00,draft,MOD pledges millions to Service children's education,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1932,NewsArticle
Ministry of Defence,10/02/2012 13:27:00,draft,HMS Daring sets sail on maiden deployment,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1934,NewsArticle
"Department for Business, Innovation & Skills",10/02/2012 14:15:00,draft,Consumer empowerment strategy,"Beck Thompson, Alan Maddrell",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1938,Publication
"Department for Business, Innovation & Skills; Foreign & Commonwealth Office",10/02/2012 14:26:00,draft,Export licensing to be strengthened,"Suzanne Amos, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1939,NewsArticle
"Department for Business, Innovation & Skills",10/02/2012 14:30:00,draft,Strategic export licensing,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1940,Speech
"Department for Business, Innovation & Skills; Department of Health",10/02/2012 15:24:00,draft,Boosting innovation in the life sciences industry,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1943,Publication
"Department for Business, Innovation & Skills",10/02/2012 15:50:00,draft,[ON HOLD] Forward Commitment Procurement (FCP),Jon Sanger,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1945,Publication
Department for Education,10/02/2012 16:32:00,draft,Reforming vocational education,Suzanne Amos,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1947,Publication
"Department for Environment, Food & Rural Affairs",10/02/2012 17:21:00,draft,UK will point the way to greener growth at Rio+20,"Simon Everest, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1952,NewsArticle
"Department for Business, Innovation & Skills",13/02/2012 10:27:00,draft,Guide for community buying groups,Beck Thompson,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1956,Publication
"Department for Environment, Food & Rural Affairs",13/02/2012 11:02:00,draft,Ensuring consumers can be confident about where their food comes from,"Simon Everest, Beck Thompson, Alan Maddrell, Sarah Richards",https://whitehall-admin.production.alphagov.co.uk/government/admin/policies/1971,Policy
Foreign & Commonwealth Office,13/02/2012 11:32:00,draft,Campaigning against forced marriage,"Alison Daniels, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/1986,NewsArticle
"Department for Business, Innovation & Skills",13/02/2012 12:15:00,draft,Empowering and protecting consumers,Beck Thompson,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/1989,Consultation
Department for International Development,13/02/2012 12:21:00,draft,Andrew Mitchell: The UK's commitment to 0.7% spending on aid,"bruce, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/1990,Speech
Department for International Development,13/02/2012 14:38:00,draft,DFID Climate and Environment Department operational plan,"bruce, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1996,Publication
Department for International Development,13/02/2012 15:17:00,draft,India Operational Plan 2011-2015 (in Hindi),"bruce, Emily da Costa, Bruce Mackay",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/1998,Publication
Ministry of Defence,13/02/2012 15:33:00,draft,Sea King returns to duties after 18 month reconstruction,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2001,NewsArticle
Ministry of Defence,13/02/2012 15:43:00,draft,Military advisers fine tune front line kit,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2002,NewsArticle
"Department for Business, Innovation & Skills",13/02/2012 16:04:00,draft,"Product regulations on pressure vessels, pyrotechnics supplies, measuring instruments and lifts","Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2005,Consultation
"Department for Business, Innovation & Skills",13/02/2012 16:21:00,draft,"Providing protection, supporting growth ","Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2008,Speech
Ministry of Defence,13/02/2012 16:34:00,draft,New video explains veterans support,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2009,NewsArticle
Department for International Development,13/02/2012 17:32:00,draft,Andrew Mitchell: our aid programme in India,"Peter Lamb, David Heath",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2010,NewsArticle
Department for International Development,14/02/2012 09:27:00,draft,International Climate Fund Implementation Plan 2011/12-2014/15,"Bruce Mackay, Emily da Costa, Jeff Petts",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2013,Publication
Ministry of Justice,14/02/2012 09:50:00,draft,Youth court locations in Lancashire,"Tom Freestone, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2015,Consultation
"Department for Business, Innovation & Skills",14/02/2012 10:27:00,draft,The challenge of growth: a European dialogue on SMEs,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2019,Speech
"Department for Business, Innovation & Skills",14/02/2012 10:43:00,draft,Statement on higher education funding and student finance,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2022,Speech
"Department for Business, Innovation & Skills",14/02/2012 10:52:00,draft,"Science, Innovation and the Economy","Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2024,Speech
"Department for Business, Innovation & Skills",14/02/2012 11:15:00,draft,Our high tech future,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2027,Speech
"Department for Business, Innovation & Skills",14/02/2012 11:23:00,draft,Improving international links and skills,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2028,Speech
Ministry of Defence,14/02/2012 11:37:00,draft,HMS Ledbury deploys to Mediterranean,Sheurie Warner,https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2030,NewsArticle
"Department for Business, Innovation & Skills; Department for Education",14/02/2012 11:41:00,draft,The National Careers Service and the future of careers guidance,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2031,Speech
Ministry of Defence,14/02/2012 11:45:00,draft,UK naval task force foils pirate attack,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2032,NewsArticle
"Department for Business, Innovation & Skills",14/02/2012 12:03:00,draft,Improving Britain's competitiveness,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2035,Speech
Ministry of Defence,14/02/2012 12:03:00,draft,UK and Afghan troops help open school in Helmand,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2036,NewsArticle
Department for International Development,14/02/2012 13:49:00,draft,The UKâs Framework for Results for Malaria in the developing world,"Bruce Mackay, Frances Sibbet",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2042,Publication
"Department for Business, Innovation & Skills",14/02/2012 13:59:00,draft,Corporate governance and economic short-termism,Beck Thompson,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2043,Consultation
"Department for Business, Innovation & Skills",14/02/2012 14:10:00,draft,Higher education funding and student finance,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2045,Speech
"Department for Business, Innovation & Skills",14/02/2012 14:29:00,draft,The future of narrative reporting: a further consultation,Beck Thompson,https://whitehall-admin.production.alphagov.co.uk/government/admin/consultations/2047,Consultation
"Department for Business, Innovation & Skills",14/02/2012 14:39:00,draft,Discussion paper: simpler reporting for the smallest businesses,Beck Thompson,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2048,Publication
Department for International Development,14/02/2012 14:47:00,draft,Alan Duncan: The Gareth Roberts Science Policy Lecture,"Suzanne Amos, Emily da Costa, Robin Riley, Alan Maddrell",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2049,Speech
"Department for Business, Innovation & Skills",14/02/2012 15:05:00,draft,Government response to green paper on EU corporate governance framework,"Beck Thompson, Alan Maddrell",https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2054,Publication
Department for International Development,14/02/2012 15:32:00,draft,"Monitoring and evaluation framework: Reproductive, maternal and newborn health in the developing world",Bruce Mackay,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2061,Publication
"Department for Business, Innovation & Skills",14/02/2012 15:41:00,draft,Executive remuneration,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2065,Speech
Department for International Development,14/02/2012 15:46:00,draft,Humanitarian Emergency Response Review,Louise Stone,https://whitehall-admin.production.alphagov.co.uk/government/admin/publications/2066,Publication
Ministry of Defence,14/02/2012 16:13:00,draft,MOD paves way for new wind farm friendly radars,"Sheurie Warner, Paul Cronk",https://whitehall-admin.production.alphagov.co.uk/government/admin/news/2069,NewsArticle
"Department for Business, Innovation & Skills",15/02/2012 09:08:00,draft,Creating the most entrepreneurial decade,"Suzanne Amos, Emily da Costa",https://whitehall-admin.production.alphagov.co.uk/government/admin/speeches/2079,Speech
